"","ZIPCODE","BLDGZIP","PO_NAME","POPULATION","AREA","STATE","COUNTY","ST_FIPS","CTY_FIPS","URL","SHAPE_AREA","SHAPE_LEN","ZipCode","num_dogs","BreedName","num_breeds","pop_breed","AnimalName","num_names","pop_name","Borough","n_dogs_borough","dogs_per_capita","Affenpinscher","Afghan Hound","Afghan Hound Crossbreed","Airedale Terrier","Akita","Akita Crossbreed","Alaskan Malamute","American Bully","American English Coonhound","American Eskimo dog","American Foxhound","American Hairless Terrier","American Leopard Hound","American Pit Bull Mix / Pit Bull Mix","American Pit Bull Terrier/Pit Bull","American Staffordshire Terrier ","American Water Spaniel","Anatolian Shepherd Dog","Australian Cattle Dog","Australian Cattledog","Australian Kelpie","Australian Shepherd","Australian Silky Terrier","Australian Terrier","Barbet","Basenji","Basset Hound","Bassett Hound","Beagle","Beagle Crossbreed","Bearded Collie","Bedlington Terrier","Belgian Griffon","Belgian Malinois","Belgian Sheepdog","Belgian Tervuren","Berger Picard","Bernese Mountain Dog","Bichon Frise","Bichon Frise Crossbreed","Biewer Terrier","Black and Tan Coonhound","Black Russian Terrier","Bloodhound","Bloodhound Crossbreed","Bluetick Coonhound","Boerboel","Bolognese","Border Collie","Border Collie Crossbreed","Border Terrier","Borzoi","Boston Terrier","Bouvier Des Flandres","Boxer","Boxer Crossbreed","Boykin Spaniel","Bracco Italiano","Briard","Brittany","Brittany Spaniel","Brussels Griffon","Bull Dog, American","Bull Dog, English","Bull Dog, French","Bull Terrier","Bulldog","Bullmastiff","Cairn Terrier","Canaan Dog","Cane Corso","Cardigan Welsh Corgi","Catahoula Leopard Dog","Cavalier King Charles Spaniel","Cesky Terrier","Chesapeake Bay Retriever","Chihuahua","Chihuahua Crossbreed","Chinese Crested","Chinese Shar-Pei","Chinook","Chow Chow","Cirneco dell","Clumber Spaniel","Cocker Spaniel","Cocker Spaniel Crossbreed","Collie","Collie Crossbreed","Collie, Bearded ","Collie, Border","Collie, Rough Coat","Collie, Smooth Coat","Coonhound, Black and Tan","Coonhound, Blue Tick","Coonhound, Treeing Walker","Coton de Tulear","Cotton De Tulear","Curly-Coated Retriever","Dachshund","Dachshund Crossbreed","Dachshund Smooth Coat","Dachshund Smooth Coat Miniature","Dachshund, Long Haired","Dachshund, Long Haired Miniature","Dachshund, Wirehaired","Dachshund, Wirehaired, Miniature","Dalmatian","Dandie Dinmont Terrier","Doberman Pinscher","Dogo Argentino","Dogue de Bordeaux","Dutch Shepherd","English Cocker Spaniel","English Foxhound","English Setter","English Springer Spaniel","English Toy Spaniel","Entlebucher Mountain Dog","Eurasier","Field Spaniel","Fila Brasileiro","Finnish Lapphund","Finnish Spitz","Flat-Coated Retriever","French Bulldog","French Spaniel","German Longhaired Pointer","German Pinscher","German Shepherd Crossbreed","German Shepherd Dog","German Shorthaired Pointer","German Spitz","German Wirehaired Pointer","Giant Schnauzer","Glen of Imaal Terrier","Golden Retriever","Goldendoodle","Gordon Setter","Grand Basset Griffon Vendeen","Great Dane","Great Pyrenees","Greater Swiss Mountain Dog","Greyhound","Hamiltonstovare","Harrier","Havanese","Hovawart","Ibizan Hound","Irish Red and White Setter","Irish Setter","Irish Terrier","Irish Wolfhound","Italian Greyhound","Jack Russell Terrier","Japanese Chin","Japanese Chin/Spaniel","Jindo","Jindo Dog, Korea","Kai Ken","Karelian Bear Dog","Keeshond","Kerry Blue Terrier","Kooikerhondje","Kromfohrlander","Kuvasz","Labradoodle","Labrador Retriever","Labrador Retriever Crossbreed","Lagotto Romagnolo","Lakeland Terrier","Lancashire Heeler","Leonberger","Lhasa Apso","Lowchen","Maltese","Maltese Crossbreed","Maltipoo","Manchester Terrier","Mastiff","Mastiff, Bull","Mastiff, French (Dogue de Bordeaux)","Mastiff, Neapolitan","Mastiff, Old English","Mastiff, Tibetan","Miniature American Shepherd","Miniature Bull Terrier","Miniature Fox Terrier","Miniature Pinscher","Miniature Schnauzer","Morkie","Mudi","Neapolitan Mastiff","Newfoundland","Norfolk Terrier","Norwegian Buhund","Norwegian Elkhound","Norwich Terrier","Nova Scotia Duck Tolling Retriever","Old English Sheepdog","Otterhound","Papillon","Parson Russell Terrier","Pekingese","Pembroke Welsh Corgi","Pembroke Welsh Corgi Crossbreed","Perro de Presa Canario","Peruvian Inca Orchid","Petit Basset Griffon Vendeen","Pharaoh Hound","Pharoh hound","Plott","Pointer","Pointer, German Shorthaired","Pointer, German Wirehaired","Polish Hound","Polish Lowland Sheepdog","Pomeranian","Pomeranian Crossbreed","Poodle","Poodle Crossbreed","Poodle, Miniature","Poodle, Standard","Poodle, Toy","Portuguese Podengo Pequeno","Portuguese Sheepdog","Portuguese Water Dog","Pug","Pug Crossbreed","Puggle","Puli","Pumi","Pyrenean Shepherd","Rat Terrier","Rat Terrier Crossbreed","Redbone Coonhound","Rhodesian Ridgeback","Rottweiler","Rottweiler Crossbreed","Russell Terrier","Russian Toy","Russian Wolfhound","Saint Bernard","Saluki","Samoyed","Schipperke","Schipperkee","Schnauzer Crossbreed","Schnauzer, Giant","Schnauzer, Miniature","Schnauzer, Miniature Crossbreed","Schnauzer, Standard","Scottish Deerhound","Scottish Terrier","Sealyham Terrier","Shar-Pei, Chinese","Shetland Sheepdog","Shiba Inu","Shiba Inu Crossbreed","Shih Tzu","Shih Tzu Crossbreed","Siberian Husky","Siberian Husky Crossbreed","Silky Terrier","Skye Terrier","Small Munsterlander Pointer","Smooth Fox Terrier","Soft Coated Wheaten Terrier","Spanish Water Dog","Spinone Italiano","St. Bernard","Staffordshire Bull Terrier","Standard Schnauzer","Sussex Spaniel","Swedish Vallhund","Terrier Crossbreed","Terrier mix","Thai Ridgeback","Tibetan Mastiff","Tibetan Spaniel","Tibetan Terrier","Toy Fox Terrier","Treeing Tennessee Brindle","Treeing Walker Coonhound","Vizsla","Weimaraner","Welsh Corgi, Cardigan","Welsh Corgi, Pembroke","Welsh Springer Spaniel","Welsh Terrier","West High White Terrier","West Highland White Terrier","Wheaton Terrier","Whippet","Wire Fox Terrier","Wirehaired Pointing Griffon","Xoloitzcuintli","Yorkshire Terrier","Yorkshire Terrier Crossbreed"
"41",10473,"0","Bronx",58284,59522354.5402765,"NY","Bronx","36","005","http://www.usps.com/",0,0,10473,843,"Yorkshire Terrier",100,"Yorkshire Terrier","ROCKY",9,"ROCKY","Bronx",835,0.0144636606959028,NA,2,NA,NA,7,NA,NA,4,NA,4,NA,NA,NA,30,53,5,NA,1,NA,2,NA,1,NA,NA,NA,2,NA,NA,8,2,NA,NA,NA,2,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,6,NA,6,NA,NA,NA,NA,NA,NA,1,NA,9,1,1,3,NA,3,NA,2,NA,NA,1,NA,NA,54,9,NA,2,NA,2,NA,NA,11,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,7,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8,18,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,8,NA,NA,NA,NA,12,NA,46,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,1,4,1,7,6,20,NA,NA,NA,12,NA,4,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,1,NA,NA,NA,9,NA,82,18,13,NA,1,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,100,11
"42",10030,"0","New York",26720,7757661.4549303,"NY","New York","36","061","http://www.usps.com/",0,0,10030,294,"Yorkshire Terrier",30,"Yorkshire Terrier","SHADOW",5,"SHADOW","Manhattan",289,0.011002994011976,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,14,4,NA,NA,NA,1,NA,2,NA,NA,NA,1,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,17,6,NA,NA,1,3,NA,NA,2,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,2,1,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,14,NA,NA,NA,1,7,NA,10,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,4,NA,2,3,2,1,3,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,19,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,4,2,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,30,1
"43",10027,"0","New York",58639,24695278.5042902,"NY","New York","36","061","http://www.usps.com/",0,0,10027,843,"Chihuahua",65,"Chihuahua","ROCKY",9,"ROCKY","Manhattan",839,0.0143760978188578,NA,NA,NA,NA,NA,NA,2,1,NA,1,1,NA,NA,38,21,2,1,NA,4,1,NA,7,NA,NA,NA,NA,1,NA,16,9,NA,1,NA,NA,NA,NA,NA,1,5,NA,NA,1,NA,NA,NA,NA,NA,NA,5,NA,3,NA,10,1,6,NA,NA,NA,NA,NA,NA,4,NA,3,6,5,2,NA,7,NA,1,1,1,3,NA,1,65,16,NA,NA,NA,NA,NA,NA,12,1,NA,2,NA,4,NA,NA,NA,NA,2,NA,2,NA,7,1,4,4,NA,2,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,15,14,NA,NA,NA,NA,1,8,2,NA,NA,2,1,NA,5,NA,NA,11,NA,NA,NA,NA,NA,NA,5,15,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,30,21,NA,NA,NA,NA,4,NA,21,4,1,2,NA,2,NA,NA,1,NA,NA,NA,NA,8,2,3,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,1,NA,NA,5,1,NA,NA,NA,13,NA,5,8,4,7,8,NA,NA,3,10,NA,3,NA,NA,NA,4,NA,NA,5,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,7,NA,NA,NA,1,NA,3,NA,11,NA,41,14,7,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,3,2,2,NA,3,NA,NA,41,3
"44",10474,"0","Bronx",12281,40614090.1902275,"NY","Bronx","36","005","http://www.usps.com/",0,0,10474,94,"American Pit Bull Terrier/Pit Bull",12,"American Pit Bull Terrier/Pit Bull","BANDIT",2,"BANDIT","Bronx",94,0.00765409982900415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,8,3,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,1,2,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3
"45",10455,"0","Bronx",39834,19846918.8414558,"NY","Bronx","36","005","http://www.usps.com/",0,0,10455,403,"Chihuahua",51,"Chihuahua","PRINCESS",7,"PRINCESS","Bronx",402,0.0101169854897826,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,16,28,2,NA,NA,NA,NA,NA,2,NA,NA,NA,2,3,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,51,6,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA,NA,1,NA,30,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,2,4,6,4,3,NA,NA,NA,7,NA,2,NA,NA,NA,1,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,1,NA,2,NA,29,6,6,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,35,6
"46",10037,"0","New York",16931,7188980.95342821,"NY","New York","36","061","http://www.usps.com/",0,0,10037,272,"Yorkshire Terrier",49,"Yorkshire Terrier","BUDDY ",3,"BUDDY ","Manhattan",269,0.0160652058354498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,12,2,NA,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,2,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,2,1,NA,NA,1,NA,NA,NA,NA,3,NA,NA,12,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9,NA,NA,NA,NA,2,NA,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,3,2,1,3,NA,NA,NA,1,NA,3,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,21,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,NA,49,6
"47",10024,"0","New York",58521,22877335.4639181,"NY","New York","36","061","http://www.usps.com/",0,0,10024,2368,"Labrador Retriever",129,"Labrador Retriever","LUCY",23,"LUCY","Manhattan",2351,0.0404641069017959,NA,NA,NA,NA,1,2,NA,2,1,1,2,NA,NA,37,23,18,NA,NA,2,7,NA,25,1,1,NA,4,NA,2,42,19,NA,NA,NA,1,2,NA,1,14,22,NA,NA,2,NA,NA,NA,NA,NA,NA,6,NA,13,NA,16,1,17,NA,NA,NA,1,2,4,4,NA,15,22,4,2,NA,10,NA,NA,1,3,73,NA,NA,54,14,NA,NA,NA,2,NA,1,37,4,1,3,1,11,2,1,1,NA,1,3,5,NA,7,3,22,17,7,10,1,4,1,NA,1,NA,NA,NA,11,1,NA,3,1,NA,NA,1,NA,NA,NA,1,27,NA,NA,NA,27,27,2,NA,NA,NA,3,73,12,NA,NA,1,NA,1,4,NA,NA,88,NA,NA,NA,1,6,NA,7,49,NA,1,1,NA,NA,NA,1,NA,1,2,NA,50,129,66,2,NA,NA,NA,6,1,43,9,5,NA,NA,NA,2,NA,1,NA,2,NA,NA,6,15,4,NA,NA,NA,4,NA,NA,3,4,1,NA,9,2,4,NA,1,NA,NA,4,NA,2,1,4,2,1,NA,NA,18,2,17,21,49,31,23,NA,NA,14,43,1,8,NA,NA,NA,3,NA,1,10,4,NA,NA,NA,NA,4,NA,4,1,1,1,NA,18,NA,5,NA,8,NA,3,7,12,NA,72,7,13,NA,6,NA,NA,1,1,NA,NA,1,6,NA,NA,NA,3,16,NA,NA,2,11,NA,NA,NA,15,5,NA,1,1,NA,22,4,22,10,5,NA,NA,75,6
"48",10454,"0","Bronx",37466,31063613.325308,"NY","Bronx","36","005","http://www.usps.com/",0,0,10454,390,"Yorkshire Terrier",48,"Yorkshire Terrier","MAX",9,"MAX","Bronx",386,0.0104094378903539,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,20,33,8,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,39,4,NA,NA,NA,2,NA,NA,6,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,3,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,2,2,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,4,NA,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,10,1,6,6,2,1,2,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,1,NA,2,NA,38,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,1
"49",10026,"0","New York",34313,11092681.4884746,"NY","New York","36","061","http://www.usps.com/",0,0,10026,523,"Yorkshire Terrier",35,"Yorkshire Terrier","CHARLIE",6,"CHARLIE","Manhattan",521,0.0152420365459155,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,22,20,4,NA,NA,1,1,NA,3,NA,NA,NA,2,NA,2,3,1,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,8,NA,7,NA,NA,NA,2,NA,2,NA,NA,5,5,NA,1,NA,1,NA,2,NA,NA,4,NA,NA,29,4,NA,NA,NA,2,NA,NA,9,1,1,NA,NA,NA,NA,2,1,NA,NA,NA,2,NA,3,1,4,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,8,5,1,NA,NA,NA,NA,6,4,NA,NA,1,1,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,1,7,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9,9,1,NA,NA,NA,4,NA,14,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,14,1,1,6,7,5,8,NA,NA,1,5,NA,6,NA,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,1,9,NA,21,6,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,5,NA,NA,NA,NA,1,NA,NA,NA,1,2,1,NA,NA,2,NA,NA,1,1,NA,NA,35,4
"50",10035,"0","New York",34884,15445657.3340813,"NY","New York","36","061","http://www.usps.com/",0,0,10035,532,"Shih Tzu",51,"Shih Tzu","ANGEL",5,"ANGEL","Manhattan",530,0.0152505446623094,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,26,25,6,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,7,NA,6,NA,NA,NA,NA,1,NA,NA,NA,4,3,NA,1,NA,3,NA,2,NA,NA,1,NA,NA,42,8,NA,NA,NA,NA,NA,NA,8,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,2,NA,3,NA,NA,2,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,3,5,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,1,9,NA,NA,NA,NA,NA,NA,2,12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,13,NA,NA,NA,NA,3,1,12,3,1,NA,2,NA,NA,NA,NA,NA,1,NA,NA,3,1,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,9,7,7,5,5,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,2,NA,1,NA,5,NA,51,5,7,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,3,NA,NA,NA,1,NA,NA,1,2,1,NA,2,NA,NA,NA,NA,2,1,NA,NA,NA,45,8
"51",10048,"0","New York",0,972788.42397429,"NY","New York","36","061","http://www.usps.com/",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
